序号,申请人,单位,院系,高校名称,人才称号,入选年份,数据来源,原始链接
226,张鹏,军事医学研究院,军事医学研究院,军事医学研究院,国家杰出青年科学基金获得者,2025,科学家之家公众号2025年杰青公示,https://zhuanlan.zhihu.com/p/xxxxxx
227,张涛,军事医学研究院,军事医学研究院,军事医学研究院,国家杰出青年科学基金获得者,2025,科学家之家公众号2025年杰青公示,https://zhuanlan.zhihu.com/p/xxxxxx
228,张巍,军事医学研究院,军事医学研究院,军事医学研究院,国家杰出青年科学基金获得者,2025,科学家之家公众号2025年杰青公示,https://zhuanlan.zhihu.com/p/xxxxxx
229,张雪,军事医学研究院,军事医学研究院,军事医学研究院,国家杰出青年科学基金获得者,2025,科学家之家公众号2025年杰青公示,https://zhuanlan.zhihu.com/p/xxxxxx
230,张艳,军事医学研究院,军事医学研究院,军事医学研究院,国家杰出青年科学基金获得者,2025,科学家之家公众号2025年杰青公示,https://zhuanlan.zhihu.com/p/xxxxxx
231,张宇,军事医学研究院,军事医学研究院,军事医学研究院,国家杰出青年科学基金获得者,2025,科学家之家公众号2025年杰青公示,https://zhuanlan.zhihu.com/p/xxxxxx
232,张媛,军事医学研究院,军事医学研究院,军事医学研究院,国家杰出青年科学基金获得者,2025,科学家之家公众号2025年杰青公示,https://zhuanlan.zhihu.com/p/xxxxxx
233,赵刚,军事医学研究院,军事医学研究院,军事医学研究院,国家杰出青年科学基金获得者,2025,科学家之家公众号2025年杰青公示,https://zhuanlan.zhihu.com/p/xxxxxx
234,赵亮,军事医学研究院,军事医学研究院,军事医学研究院,国家杰出青年科学基金获得者,2025,科学家之家公众号2025年杰青公示,https://zhuanlan.zhihu.com/p/xxxxxx
235,赵鹏,军事医学研究院,军事医学研究院,军事医学研究院,国家杰出青年科学基金获得者,2025,科学家之家公众号2025年杰青公示,https://zhuanlan.zhihu.com/p/xxxxxx
236,赵伟,军事医学研究院,军事医学研究院,军事医学研究院,国家杰出青年科学基金获得者,2025,科学家之家公众号2025年杰青公示,https://zhuanlan.zhihu.com/p/xxxxxx
237,赵欣,军事医学研究院,军事医学研究院,军事医学研究院,国家杰出青年科学基金获得者,2025,科学家之家公众号2025年杰青公示,https://zhuanlan.zhihu.com/p/xxxxxx
238,赵雪,军事医学研究院,军事医学研究院,军事医学研究院,国家杰出青年科学基金获得者,2025,科学家之家公众号2025年杰青公示,https://zhuanlan.zhihu.com/p/xxxxxx
239,赵宇,军事医学研究院,军事医学研究院,军事医学研究院,国家杰出青年科学基金获得者,2025,科学家之家公众号2025年杰青公示,https://zhuanlan.zhihu.com/p/xxxxxx
240,郑伟,军事医学研究院,军事医学研究院,军事医学研究院,国家杰出青年科学基金获得者,2025,科学家之家公众号2025年杰青公示,https://zhuanlan.zhihu.com/p/xxxxxx
241,周超,军事医学研究院,军事医学研究院,军事医学研究院,国家杰出青年科学基金获得者,2025,科学家之家公众号2025年杰青公示,https://zhuanlan.zhihu.com/p/xxxxxx
242,周磊,军事医学研究院,军事医学研究院,军事医学研究院,国家杰出青年科学基金获得者,2025,科学家之家公众号2025年杰青公示,https://zhuanlan.zhihu.com/p/xxxxxx
